id,planning_area_name,inhabitants,z_s1_percentage_unemployed,z_s2_percentage_long_term_unemployed,z_s3_percentage_transfer_payments_recipients,z_s4_percentage_transfer_payments_recipients_below_15_years,z_d1_percentage_unemployed,z_d2_percentage_long_term_unemployed,z_d3_percentage_transfer_payments_recipients,z_d4_percentage_transfer_payments_recipients_below_15_years
01400937,Afrikanische Straße,10804,1.05112,,0.9153,1.10239,3.06881,1.03835,niedrig,0.91445
01400938,Kameruner Straße,9725,0.94456,,0.9337,1.30865,3.18691,1.07831,niedrig,1.23293
01400939,Glasgower Straße,5926,1.0469,,0.94242,1.24104,3.23036,1.09301,niedrig,1.3414
01400940,Schillerpark,6794,0.99068,,0.79961,1.12884,2.91913,0.9877,mittel,1.37787
01400941,Londoner Straße,3786,0.70074,,0.43561,1.06918,2.20553,0.74625,mittel,1.2135
01400942,Westliche Müllerstraße,8643,0.74178,,0.88068,1.38956,3.01202,1.01913,niedrig,0.55299
01401043,Antonstraße,7739,1.97265,,2.26735,2.14041,6.38041,2.15885,sehr niedrig,1.09073
01401044,Uferstraße,10224,1.82446,,2.16665,2.26837,6.25948,2.11793,sehr niedrig,1.86807
01401045,Schwedenstraße,5722,2.01618,,2.32583,2.12531,6.46732,2.18825,sehr niedrig,3.396
01401046,Nordufer,8781,0.70901,,0.57046,0.60978,1.88925,0.63924,mittel,0.50176
01401047,Sparrplatz,7867,1.01352,,1.1306,1.62996,3.77408,1.27698,niedrig,1.07473
01401048,Leopoldplatz,9098,1.33443,,1.51626,1.64374,4.49443,1.52072,sehr niedrig,0.9123
01401049,Schulstraße,6689,2.157,,2.25682,2.4373,6.85112,2.31812,sehr niedrig,1.86246
02100101,Askanischer Platz,6281,1.17402,,1.45021,1.18188,3.80611,1.28782,niedrig,1.37729
02100102,Mehringplatz,8647,2.06393,,2.32172,1.73508,6.12073,2.07098,sehr niedrig,1.55341
02100103,Am Berlin Museum,5382,1.86395,,2.02386,1.57448,5.46229,1.8482,sehr niedrig,1.82914
02100104,Moritzplatz,5567,2.4023,,2.24055,1.94511,6.58796,2.22907,sehr niedrig,1.2975
02100105,Prinzenstraße,9604,2.70324,,2.66086,2.35959,7.72369,2.61335,sehr niedrig,1.08007
